cosmosvaloper,cosmos,moniker,pubkey,address,cosmosvalcons,bonded,jailed,left_active_set,left_heights,joined_active_set,joined_heights,jailed_during_period,jailed_time,jailed_block,jailed_reason
cosmosvaloper1ehscatk0d2ncmuddezaghtfxcp4ltkyauz8ept,cosmos1ehscatk0d2ncmuddezaghtfxcp4ltkyaeknvdc,Everstake,Y62W9aZMjxnmfJlCAEEktadBUJ4o3yPzfqdp8jVD/Qc=,5D3AF2D306E2195A626EDA303B84CD62372C029E,cosmosvalcons1t5a095cxugv45cnwmgcrhpxdvgmjcq57dtkl6j,False,True,False,,False,,False,,,
cosmosvaloper1euwz7vyqtnlkx8da7z4jdrr6ymghaly4ddwn5q,cosmos1euwz7vyqtnlkx8da7z4jdrr6ymghaly4ge6xcn,demo-day,QdB2beOtVeB1NzxA6lpwjKiL0v358RsaUgfNZmHebxQ=,84C73E979648302DAC6FE1FB3A0EAA0FEC2211BE,cosmosvalcons1snrna9ukfqczmtr0u8an5r42plkzyyd7gnhwl3,False,True,False,,False,,False,,,
cosmosvaloper1eagv6624g8yxz9xg5sum2l2swza9gaq4wwaaf8,cosmos1eagv6624g8yxz9xg5sum2l2swza9gaq4t6fg95,ugprade-val-1-NEW,mPXe4vJdJIEvvUc4ZDs9ILoi+s0kHqlw1HjFxLJ096E=,F2958B801774D0ED6C71BF0153DEFDE84004E3C8,cosmosvalcons1722chqqhwngw6mr3huq48hhaapqqfc7gl37h4u,False,True,False,,False,,False,,,
cosmosvaloper1eawa5lpg7283jxyyx006etqg9fm6grx98gk0n9,cosmos1eawa5lpg7283jxyyx006etqg9fm6grx9zuz6lk,test-cvms,5RP1fN2feXBAZt5itqU7XTTB59xn2Mk+2QJNsoX8j/I=,7343F26C4AE8ED80B50A7A80C2E1C28CF0EAB2E7,cosmosvalcons1wdplymz2arkcpdg202qv9cwz3ncw4vh8jakfja,False,True,False,,False,,False,,,
cosmosvaloper169pd3qa56n5xryvtchtkhy7uw8hc2amqg9e5kd,cosmos169pd3qa56n5xryvtchtkhy7uw8hc2amqd3dp67,ITRocket,AQIWuT8suG6S+9VDe01q09lSUvpcGOaLiiN7FSu9YZw=,F13542C59E703B939CD0B0573E5077228F09DE77,cosmosvalcons17y6593v7wqae88xskptnu5rhy28snhnhzx8a3k,True,False,False,,False,,False,,,
cosmosvaloper169my69d97z05nd4kq3ztqs0kl6mn5xfn8m8mq6,cosmos169my69d97z05nd4kq3ztqs0kl6mn5xfnz0nwvf,DURE Nodes,brdhtPq81CRFYmFw9SvGQ/V0mJ7GnkSqTKGElIYhbu0=,3087498EA175D9C0B8D150A303C3DE14C6B00C15,cosmosvalcons1xzr5nr4pwhvupwx32z3s8s77znrtqrq4z2jsaq,True,False,False,,False,,False,,,
cosmosvaloper1683ftalhc9w5zs0mfhghne8ykj2rsc4tvqjp8x,cosmos1683ftalhc9w5zs0mfhghne8ykj2rsc4tf5x5t4,BitValidator,v2tStvQMI6+lpFm6dcoBEZGluVRBvsI4debSGskxBl8=,0F80E7B5E21E396AA746E4A4A3C5941CDE56ADE8,cosmosvalcons1p7qw0d0zrcuk4f6xujj283v5rn09dt0g27uklp,False,True,False,,False,,False,,,
cosmosvaloper162jpcgftcaf9najjku3z6thlusepk03fz4faut,cosmos162jpcgftcaf9najjku3z6thlusepk03f8pagsc,swiss-staking,La+v6w2Dwot2b8o0WYLk8r3nF7yga47W3SHod8q+oqs=,3D92E2F0D1C68221B9179F5B0275697F2129C5F2,cosmosvalcons18kfw9ux3c6pzrwghnadsyatf0usjn30j2mrxzx,False,True,False,,False,,False,,,
cosmosvaloper16tjqdxslfp2pptz74hkuvh76c88dhyefe6pfgv,cosmos16tjqdxslfp2pptz74hkuvh76c88dhyefuw4uyl,Bit Cat😻,D3T+hraIBGp6pVCKqmp3UtwiW057uuZf8CbD8tMuARM=,18C4B685BFD77FE81EF17563BE318D582D168DFB,cosmosvalcons1rrztdpdl6al7s8h3w43muvvdtqk3dr0mn8fexj,True,False,False,,False,,False,,,
cosmosvaloper16th5kz5fk4rlrhyu4ds7h5xmga30qjv6305lzm,cosmos16th5kz5fk4rlrhyu4ds7h5xmga30qjv65mq2wg,B-Harvest,LY5kYhS4ZjQBdMtP7fgZSdpLn54GGBashLVtFe4YsLg=,9D8088448B62C856EBF924F915021DFD054FD224,cosmosvalcons1nkqgs3ytvty9d6leynu32qsal5z5l53yswgnyq,False,True,False,,False,,False,,,
cosmosvaloper16walwulrvqaul6995gd03rcqcy7w9ag32etasa,cosmos16walwulrvqaul6995gd03rcqcy7w9ag30dlguw,NodeX Capital,MXnh7YUe0YZAiXsPLcrS/3NSlfN59OaT/7867Yr5zS4=,101D59A99FEBDD39FC3A4E1DFD415DB4766E4682,cosmosvalcons1zqw4n2vla0wnnlp6fcwl6s2ak3mxu35zqstrxv,False,True,False,,False,,False,,,
cosmosvaloper160jfdfp2nttp06z525ltv79l00dgkzmffgneh5,cosmos160jfdfp2nttp06z525ltv79l00dgkzmfvu8vm8,mindshot,/yAZGa0kkqNsk6tcYhMnkXwgAf6rKT0aVhcueu++K2U=,F6E5FB8804B26F95AEC75DE2D73E04593C60BFA5,cosmosvalcons17mjlhzqykfhettk8th3dw0syty7xp0a980ht3d,False,True,False,,False,,False,,,
cosmosvaloper16nkm45xzkh600mscxdmwzql054y4xe0nuawrsq,cosmos16nkm45xzkh600mscxdmwzql054y4xe0nef6kun,Blockpower,9OqYVsN/2KjWHMSVz5TfsKoQJxrZJGhMw5hBTuiG1gE=,46E3688C6C7B114ABEAD6681F97B54F3077043CB,cosmosvalcons1gm3k3rrv0vg5404dv6qlj7657vrhqs7tef4n7t,False,True,False,,False,,False,,,
cosmosvaloper16cfk3n695ufqn2cdmrx6jucwytknk99m962nly,cosmos16cfk3n695ufqn2cdmrx6jucwytknk99mqw7xnh,OwlStake,FMwpgoRV6s9JuIXvTExrFwKdScn7SlLcO02Wf/V8Ti8=,3F619A0CD4B513327CAAF94AD07686801A22E600,cosmosvalcons18ase5rx5k5fnyl92l99dqa5xsqdz9esqp2ayfe,True,False,False,,False,,False,,,
cosmosvaloper16mdmdqa40tgtc7qzp2r48td7jk9lxjejzyznv3,cosmos16mdmdqa40tgtc7qzp2r48td7jk9lxjej8skxqz,cosmoshub-testnet,/bpk3Y3O3Xertll8U+FAn0u4nG++a/NC/3umog1jLzo=,CB811ABA24E7D8098BB46FA50840C5B5B5BA19DE,cosmosvalcons1ewq34w3yulvqnza5d7jsssx9kk6m5xw74vhg7z,False,True,False,,False,,False,,,
cosmosvaloper16agcdsyyqcddst3u2mweykg75snpsqz7aknrpf,cosmos16agcdsyyqcddst3u2mweykg75snpsqz7cz8kd6,new_moniker_name,aFefP2LyMVgaHgBQ6LnG6PkP1Z/Fm2xb2tSSi+ZJAvI=,37B50697E4B480E7CE26F4E1C2672FDA030FA13B,cosmosvalcons1x76sd9lykjqw0n3x7nsuyee0mgpslgfmpr8rcf,False,False,False,,False,,False,,,
cosmosvaloper1mqf94r54xhklqu7265cxupczpu8es7ewgca7tf,cosmos1mqf94r54xhklqu7265cxupczpu8es7ewdvft86,Deroris Moniker,RhGbvuk5SihHqfgJTOinqMyYTy61THCyBNWLfBOIaPA=,279ADBE5F6292E740201C1AA3E90E1B10755F33F,cosmosvalcons1y7ddhe0k9yh8gqspcx4ray8pkyr4tuel2wzt5l,False,True,False,,False,,False,,,
cosmosvaloper1mqs48dz8vhmrpvzxkfwfvywn9relhgln4vnf25,cosmos1mqs48dz8vhmrpvzxkfwfvywn9relhglnsc8ux8,High Stakes🇨🇭,hzUVtOhmbRbIOsyyvm5XL/0MlwGRC8rrsXKvudmVHA0=,E62E3A3D67E0A7A96B63E9D8B7CFEBB977C3BF63,cosmosvalcons1uchr50t8uzn6j6mra8vt0nlth9mu80mrvte68m,False,True,False,,False,,False,,,
cosmosvaloper1mp6d3mg7tfvdh0m78ax9pd3mq60rc7f7957ld7,cosmos1mp6d3mg7tfvdh0m78ax9pd3mq60rc7f7qq22pd,🌐 KysenPool RSTest,g+D8+Q89301N8FX6zNxfMJoi2UZ17erBiNEgKMxMtNw=,2AEC479B3B607E22104A5149F685D71472C7B02C,cosmosvalcons19tky0xemvplzyyz229yldpwhz3ev0vpvulmzzs,False,True,False,,False,,False,,,
cosmosvaloper1my0tw89w0dmuknp0y4dqvyuflua2rr0mmg77zc,cosmos1my0tw89w0dmuknp0y4dqvyuflua2rr0m7u2twt,NodesHub,FjbWLayOA/quh6tAcv5oGX9Ty+yYzclMCKQ+AcTYSZM=,47B84C0681DA26C44FD350854755B4129B5206AD,cosmosvalcons1g7uycp5pmgnvgn7n2zz5w4d5z2d4yp4dl7z4jn,True,False,False,,False,,False,,,
cosmosvaloper1mxves3jchrjertqjlrgypzlfwrd4v626kepxad,cosmos1mxves3jchrjertqjlrgypzlfwrd4v626nd4n37,Simply Staking,arn47pf8JHFENdOIGHxxmB5QCWgupJyXjy3i2l2UFn8=,A7975F8E9FFA9749DFD78351F16A5A9CAF05B026,cosmosvalcons157t4lr5ll2t5nh7hsdglz6j6njhstvpxufzdln,True,False,False,,False,,False,,,
cosmosvaloper1mgdt8rxxkqz0k2f80lsxq47xr8knwmxk7kdjt9,cosmos1mgdt8rxxkqz0k2f80lsxq47xr8knwmxkmze88k,bob,BtMoY1hvXlmnedpwnXCGSwZHeixnj+bETXAx3qe8XbA=,754039B60DD6D0E73E5715207BE9CBB3DD454B1D,cosmosvalcons1w4qrndsd6mgww0jhz5s8h6wtk0w52jcauf603f,False,True,False,,False,,False,,,
cosmosvaloper1mgnjytn7qs0xtfv6fzwr3vhetw45yrethrw2th,cosmos1mgnjytn7qs0xtfv6fzwr3vhetw45yretjh6l8y,Meria,jAwl89rGpiNbDfeYlpks4NAactp6kfffvEU3iyM2zVc=,33F34C6535400E6A6DE1EE23F3AD7B0DC127C056,cosmosvalcons1x0e5cef4gq8x5m0pac3l8ttmphqj0szk5kny69,True,False,False,,False,,False,,,
cosmosvaloper1mt8utst8khhcqaq4dx3cmuq5raur2u5s4nlfpz,cosmos1mt8utst8khhcqaq4dx3cmuq5raur2u5ss8tud3,Giga Chads,qjRRkuSP7+OaWBfR45yeiCGZY73Q1EFpiJpFi+U8shA=,FB0EC80918C4A5B44665707139939624EB4BBDE7,cosmosvalcons1lv8vszgccjjmg3n9wpcnnyukyn45h008e6mtlx,False,True,False,,False,,False,,,
cosmosvaloper1mvy0jyf2rqt72sa66u30hhpfss0zary6rlq4td,cosmos1mvy0jyf2rqt72sa66u30hhpfss0zary6xt5q87,CroSSofDeath_Cosmos,QXFnCsABTHqECUI0MONP7e6JBq4B3FnNR2fHc82B448=,2756E9B17F49327F904AA6A4EB6585462351BC7D,cosmosvalcons1yatwnvtlfye8lyz256jwkev9gc34r0ra0y8924,False,True,False,,False,,False,,,
